symbol,date,open,high,low,close,volume,wap,barcount
NVDA,20250505 11:18:00 US/Eastern,113.68,113.73,113.61,113.68,153295,113.692,574
NVDA,20250505 11:19:00 US/Eastern,113.67,113.75,113.65,113.75,124956,113.701,396
NVDA,20250505 11:20:00 US/Eastern,113.75,113.75,113.68,113.73,134753,113.724,419
NVDA,20250505 11:21:00 US/Eastern,113.72,113.82,113.67,113.81,277216,113.762,863
NVDA,20250505 11:22:00 US/Eastern,113.81,113.87,113.77,113.81,247435,113.824,713
NVDA,20250505 11:23:00 US/Eastern,113.81,113.96,113.79,113.94,433335,113.895,1237
NVDA,20250505 11:24:00 US/Eastern,113.95,113.97,113.85,113.95,304692,113.929,1232
NVDA,20250505 11:25:00 US/Eastern,113.95,113.95,113.87,113.89,190197,113.903,683
NVDA,20250505 11:26:00 US/Eastern,113.89,113.94,113.85,113.88,228854,113.888,912
NVDA,20250505 11:27:00 US/Eastern,113.89,113.94,113.88,113.92,174618,113.918,622
NVDA,20250505 11:28:00 US/Eastern,113.92,113.93,113.85,113.89,154964,113.89,623
NVDA,20250505 11:29:00 US/Eastern,113.89,113.93,113.84,113.92,174039,113.9,744
NVDA,20250505 11:30:00 US/Eastern,113.92,114.08,113.87,114.07,583717,113.998,1792
NVDA,20250505 11:31:00 US/Eastern,114.07,114.12,114.03,114.07,399511,114.088,1466
NVDA,20250505 11:32:00 US/Eastern,114.06,114.08,113.95,113.97,291141,114.006,1058
NVDA,20250505 11:33:00 US/Eastern,113.98,113.98,113.85,113.89,283068,113.92,850
NVDA,20250505 11:34:00 US/Eastern,113.89,113.89,113.82,113.84,222842,113.855,737
NVDA,20250505 11:35:00 US/Eastern,113.84,113.85,113.75,113.78,260566,113.789,925
NVDA,20250505 11:36:00 US/Eastern,113.78,113.79,113.65,113.69,308252,113.714,962
NVDA,20250505 11:37:00 US/Eastern,113.7,113.74,113.66,113.71,213647,113.705,721
NVDA,20250505 11:38:00 US/Eastern,113.71,113.72,113.62,113.64,229194,113.648,771
